,Ticker,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,forwardPE,maxAge,shortPercentOfFloat,sharesShortPriorMonth,eps,Market Cap,PE,NI,EBIT
453,ULTA,3.053,0.09925,18.138,0.34275734,14.92,58457700,33.14,2185542,0.0373,1549065600,0.94161004,686384000,11.494,0.032832503,10.170488,0.05128,1612224000,1556928000,3.29,2019/4/15,56226996,1.277263,21112072192,2,-,,0.169,1557878400,1.45,22.59048,1,0.0388,2014348,11.49400044,19703166976,29.323994,658559000,854080000
454,UNH,1.132,0.054530002,13.095,-0.027622342,16.62,950342976,54.275,7034271,0.0074,1546214400,0.88172996,12616999936,12.879,0.032832503,4.5719023,0.00589,1609372800,1553990400,0.86,2019/4/15,944146876,0.764173,2.62E+11,2,2005/5/31,1月2日,0.222,1557878400,1.2,14.930203,1,0.0074,5581387,12.87899922,2.36E+11,19.267025,11986000000,17344000000
455,UNM,0.764,0.04542,9.775,-0.1488443,5.82,211880992,42.68,5976595,0.028199999,1546214400,0.97113,530800000,2.435,0.032832503,0.781865,0.00462,1609372800,1553990400,2.73,2019/4/15,210899633,1.682955,8928220160,2,1997/6/3,1月2日,0.027,1557878400,0.83,5.7336764,1,0.0319,4095155,2.43500002,7070468608,13.704312,523400000,795100000
456,UNP,6.499,0.26591,13.768,0.17698991,10.35,707838016,25.043,6798561,0.0096,1546214400,0.81342006,6047000064,8.177,0.032832503,6.88376,0.00331,1609372800,1553990400,2.09,2019/4/15,706705632,1.280465,1.48E+11,2,2014/6/9,1月2日,0.062,1557878400,1.44,16.656038,1,0.0095,7844262,8.177000009,1.22E+11,21.082304,5966000000,8555000000
457,UPS,1.463,0.06337,13.957,-0.15934956,8.12,697526976,4.027,12529657,0.0146,1546214400,0.69882005,4557000192,5.24,0.032832503,24.85473,9.00E-05,1609372800,1553990400,3.57,2019/4/15,697461675,1.391495,1.05E+11,2,-,,-0.174,1557878400,1.83,12.326354,1,0.018,12648047,5.24000001,86153060352,19.101145,4791000000,5458000000
458,URI,2.59,0.12906,8.867,-0.27213717,21.31,78624096,42.823,4137874,0.052600004,1546214400,0.89828,1088000000,13.23,0.032832503,2.8860657,0.00473,1609372800,1553990400,2.78,2019/4/15,78286018,2.62835,21830223872,2,-,,-0.044,1557878400,0.4,5.7996244,1,0.0591,3545213,13.22999967,9717151744,9.341648,1096000000,2084000000
459,USB,6.163,0.34042,,0.023712277,4.54,1592060032,28.813,18004478,0.0113,1546214400,0.77111,6800000000,4.182,0.032832503,1.8359768,0.00136,1609372800,1553990400,3.09,2019/4/15,1458488284,1.262473,1.29E+11,2,2001/2/27,1000/1265,0.014,1557878400,1.46,11.651983,1,0.0113,14859177,4.182000008,84219977728,12.64945,7096000000,0
460,UTX,2.249,0.07638,13.189,0.03105247,8.74,862291008,46.575,6280597,0.0073,1546214400,0.81863,5318000128,6.437,0.032832503,2.74847,0.0009,1609372800,1553990400,2.17,2019/4/15,763460424,1.432806,1.57E+11,2,2005/6/13,1月2日,0.038,1557878400,1.95,14.646453,1,0.0081,7464244,6.437000043,1.10E+11,19.886593,5269000000,8823000000
461,V,17.642,0.51343,26.179,0.2698828,6.21,1738989952,13.166,25408730,0.0116,1538265600,0.94934,10737000448,4.84,0.032832503,12.974328,0.00099,1601424000,1553990400,3.61,2019/4/15,1728041292,0.85817,3.82E+11,2,2015/3/19,1月4日,0.143,1557878400,1.9,27.507248,1,0.014500001,28433306,4.839999785,3.73E+11,35.29339,10301000000,13561000000
462,VAR,3.743,0.12562999,20.495,0.0731647,5.35,90945696,19.027,1642386,0.018099999,1538092800,0.95142,380800000,4.116,0.032832503,6.9017715,0.00265,1601251200,1553817600,2.44,2019/4/15,90686552,0.947658,11344199680,2,2017/1/30,8769/10000,0.21,1557878400,3.9,24.545795,1,0.0201,1538033,4.115999988,11942989824,31.904762,149900000,500400000
